============================================================================================
Box Size: 2.25 X 1 X 0.8 M
Kinect Position: 0.6, 0.35, 0.35
Experiment Time: 10/07/2013 3:52:42 PM and Ticks:635167579620106840
============================================================================================
EVENTTYPE | EVENT# | HANDTYPE | X | Y | Z | TIME | STOPWATCH(ms) | SKELETON ID
SKT | OUT | 0.3393447 | 0.05659185 | 2.707975 | 3:53:21PM | 39477 | 109
SKT | OUT | 0.3356872 | 0.06229442 | 2.692457 | 3:53:21PM | 39519 | 109
SKT | OUT | 0.3400604 | 0.05867477 | 2.667415 | 3:53:21PM | 39550 | 109
SKT | OUT | 0.3444971 | 0.05965728 | 2.644182 | 3:53:21PM | 39583 | 109
SKT | OUT | 0.3481033 | 0.06003283 | 2.624074 | 3:53:21PM | 39619 | 109
SKT | OUT | 0.3456159 | 0.06172441 | 2.607619 | 3:53:21PM | 39652 | 109
SKT | OUT | 0.3516196 | 0.05971371 | 2.583886 | 3:53:21PM | 39720 | 109
SKT | OUT | 0.3555636 | 0.05248946 | 2.564083 | 3:53:21PM | 39721 | 109
SKT | OUT | 0.355054 | 0.0557321 | 2.54795 | 3:53:21PM | 39750 | 109
SKT | OUT | 0.3575571 | 0.05910037 | 2.53525 | 3:53:21PM | 39786 | 109
SKT | OUT | 0.3552282 | 0.05936598 | 2.524173 | 3:53:21PM | 39818 | 109
SKT | OUT | 0.3517306 | 0.05721315 | 2.516019 | 3:53:21PM | 39854 | 109
SKT | OUT | 0.3565848 | 0.05610049 | 2.502072 | 3:53:21PM | 39887 | 109
SKT | OUT | 0.3565807 | 0.05199618 | 2.494624 | 3:53:21PM | 39920 | 109
SKT | OUT | 0.357116 | 0.04620622 | 2.485427 | 3:53:21PM | 39950 | 109
SKT | OUT | 0.3495339 | 0.04495451 | 2.485992 | 3:53:21PM | 39987 | 109
SKT | OUT | 0.3501616 | 0.03596378 | 2.478824 | 3:53:22PM | 40018 | 109
SKT | OUT | 0.3513389 | 0.02873311 | 2.471223 | 3:53:22PM | 40050 | 109
SKT | OUT | 0.35174 | 0.01557468 | 2.463507 | 3:53:22PM | 40083 | 109
SKT | OUT | 0.3467055 | 0.01886028 | 2.457485 | 3:53:22PM | 40116 | 109
SKT | OUT | 0.3457387 | 0.02201667 | 2.452533 | 3:53:22PM | 40151 | 109
SKT | OUT | 0.348797 | 0.01265531 | 2.444571 | 3:53:22PM | 40182 | 109
SKT | OUT | 0.3484947 | 0.01485909 | 2.438064 | 3:53:22PM | 40213 | 109
SKT | OUT | 0.3502334 | 0.02016255 | 2.432531 | 3:53:22PM | 40251 | 109
SKT | OUT | 0.3510517 | 0.02001446 | 2.427752 | 3:53:22PM | 40281 | 109
SKT | OUT | 0.3537528 | 0.01970929 | 2.422821 | 3:53:22PM | 40315 | 109
SKT | OUT | 0.3549084 | 0.02071163 | 2.416621 | 3:53:22PM | 40350 | 109
SKT | OUT | 0.3630227 | 0.01247632 | 2.407562 | 3:53:22PM | 40382 | 109
SKT | OUT | 0.3654028 | 0.01896801 | 2.402582 | 3:53:22PM | 40414 | 109
SKT | OUT | 0.3710263 | 0.009929528 | 2.394155 | 3:53:22PM | 40449 | 109
